sex,age,realhrwage,wave,sch,annlabinc,region,female
1,33,30.4067878723145,2011,16.0,56435.0,3.0,0
1,51,16.8269233703613,2011,12.0,70000.0,3.0,0
1,31,15.9144525527954,2009,13.0,48500.0,3.0,0
1,26,12.7811479568481,1999,13.0,40000.0,2.0,0
1,42,17.1698341369629,2007,11.0,32000.0,3.0,0
1,34,57.5455207824707,1999,14.0,90500.0,4.0,0
1,33,25.6410255432129,2011,15.0,60000.0,3.0,0
1,37,11.7219219207764,2009,13.0,30000.0,3.0,0
1,39,15.6839838027954,2007,12.0,38000.0,3.0,0
1,63,9.7678108215332,1990,6.0,14000.0,3.0,0
1,34,13.250675201416,2009,14.0,26817.0,2.0,0
1,64,30.0407295227051,1999,12.0,30000.0,2.0,0
1,38,52.9170074462891,1999,15.0,93249.0,2.0,0
1,28,19.6614589691162,2011,12.0,45300.0,2.0,0
1,32,14.7520017623901,1999,12.0,29000.0,3.0,0
1,30,23.963695526123,1990,12.0,32000.0,2.0,0
1,47,16.3041572570801,1999,12.0,20000.0,3.0,0
1,41,22.8910369873047,1999,12.0,45000.0,3.0,0
1,51,10.8143339157104,2007,10.0,26000.0,3.0,0
1,57,28.3044033050537,1981,8.0,24000.0,3.0,0
1,46,35.6112823486328,2007,12.0,52565.0,2.0,0
1,32,37.3684196472168,2011,13.0,71000.0,3.0,0
1,41,23.8702220916748,1999,15.0,47000.0,2.0,0
1,31,12.0520515441895,2007,12.0,25000.0,4.0,0
1,33,32.762866973877,1990,14.0,50000.0,1.0,0
1,42,16.8503456115723,1999,12.0,26500.0,3.0,0
1,28,9.40737438201904,1981,11.0,700.0,3.0,0
1,36,19.5365371704102,2009,18.0,40000.0,3.0,0
1,39,23.0384826660156,1999,12.0,50000.0,2.0,0
1,50,23.2577800750732,2009,12.0,50000.0,3.0,0
1,46,13.1277561187744,1981,11.0,15936.0,2.0,0
1,27,17.4797229766846,1981,12.0,18300.0,4.0,0
1,60,15.6022033691406,1981,12.0,26000.0,2.0,0
1,37,21.0330467224121,2007,12.0,49000.0,3.0,0
1,57,10.9457693099976,2007,16.0,20400.0,2.0,0
1,62,22.7618961334229,2007,16.0,48340.0,3.0,0
1,30,11.8176193237305,1981,13.0,10000.0,3.0,0
1,63,9.16641139984131,2009,12.0,7471.0,3.0,0
1,31,23.1274700164795,2007,12.0,45000.0,3.0,0
1,31,10.1351346969604,2011,11.0,9000.0,3.0,0
1,28,57.0951995849609,2007,16.0,41500.0,4.0,0
1,32,16.2593116760254,2007,16.0,10000.0,3.0,0
1,30,27.7285747528076,1999,12.0,55600.0,2.0,0
1,43,34.2217445373535,1999,16.0,62000.0,2.0,0
1,40,11.165584564209,1990,12.0,21300.0,1.0,0
1,57,25.7960243225098,2007,12.0,50000.0,2.0,0
1,38,22.8819999694824,1990,16.0,33000.0,3.0,0
1,45,35.175350189209,1999,12.0,52000.0,3.0,0
1,44,24.2647972106934,1999,13.0,39000.0,2.0,0
1,44,13.9592752456665,1990,16.0,18250.0,2.0,0
1,51,31.3429660797119,1999,13.0,47000.0,4.0,0
1,45,28.661247253418,1999,12.0,45300.0,1.0,0
1,59,32.598445892334,1981,5.0,22000.0,1.0,0
1,29,6.85732412338257,2009,13.0,4779.0,3.0,0
1,37,9.90446662902832,1990,12.0,13100.0,3.0,0
1,26,13.4547052383423,2007,17.0,33000.0,3.0,0
1,25,24.5098037719727,2011,13.0,25000.0,3.0,0
1,54,26.3308944702148,1981,8.0,22600.0,2.0,0
1,53,33.1208229064941,2007,12.0,60000.0,4.0,0
1,29,5.5504150390625,1990,12.0,18000.0,3.0,0
1,26,15.8365659713745,1999,15.0,33000.0,3.0,0
1,36,12.8279981613159,1990,17.0,27000.0,3.0,0
1,44,20.5529251098633,2009,13.0,38844.0,3.0,0
1,34,8.97891330718994,2009,12.0,14000.0,2.0,0
1,49,4.8912467956543,1999,9.0,8000.0,3.0,0
1,26,23.5251026153564,1990,17.0,33000.0,1.0,0
1,26,10.6459789276123,2007,17.0,5000.0,3.0,0
1,46,49.3632736206055,2007,13.0,92000.0,2.0,0
1,57,14.7874908447266,1999,14.0,24000.0,2.0,0
1,48,12.9652738571167,1999,12.0,23000.0,2.0,0
1,45,11.6941986083984,2007,10.0,34000.0,3.0,0
1,37,17.7809715270996,1981,11.0,17000.0,3.0,0
1,39,10.8810625076294,1999,16.0,24000.0,2.0,0
1,48,18.5513095855713,1999,12.0,29000.0,2.0,0
1,26,6.724440574646,1981,12.0,8000.0,3.0,0
1,28,20.5947246551514,1999,16.0,24000.0,2.0,0
1,53,21.3649654388428,1999,12.0,42000.0,1.0,0
1,50,56.5757369995117,1999,16.0,115000.0,3.0,0
1,37,20.9213485717773,1981,12.0,18500.0,3.0,0
1,39,24.5376834869385,2007,12.0,45000.0,2.0,0
1,32,13.2140989303589,2009,12.0,25000.0,3.0,0
1,42,11.7496252059937,1999,14.0,17000.0,3.0,0
1,40,31.2079257965088,2007,12.0,57000.0,2.0,0
1,38,22.6819839477539,1990,16.0,15000.0,4.0,0
1,38,18.7369232177734,2007,12.0,44000.0,3.0,0
1,34,11.9818477630615,1990,5.0,16000.0,3.0,0
1,32,11.5,2011,12.0,23000.0,4.0,0
1,34,7.27403402328491,1981,14.0,9000.0,4.0,0
1,55,26.7086315155029,2007,14.0,56000.0,4.0,0
1,53,15.6942348480225,2009,12.0,52000.0,3.0,0
1,31,29.813533782959,1999,12.0,49700.0,1.0,0
1,33,18.3743438720703,2009,18.0,36897.0,3.0,0
1,50,48.841926574707,2009,18.0,115386.0,2.0,0
1,40,33.2400779724121,2009,16.0,64000.0,1.0,0
1,51,14.6666669845581,2011,12.0,22000.0,2.0,0
1,34,17.336446762085,1981,12.0,15000.0,3.0,0
1,43,19.609354019165,1999,14.0,34000.0,3.0,0
1,56,16.6512432098389,1990,8.0,27000.0,3.0,0
